0,q_no,response_no,q_text,q_responses,Q_weighting,indicator,output_name ,type (F/B),Rough Percent contribution ,Dependancies,checked,,
138,OF7,OF7_3,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,AM,Aspect11,function,3,,1,,
139,OF8,OF8_1,Glacier Influence,"No glacier capable of contributing surface flow to the AA is present upstream. If a glacier is present, there is no surface connection to the AA.",3,SFTS,Glacier2v,Benefit,4,,1,,
140,OF8,OF8_2,Glacier Influence,Glacier connected by streams to the AA is present upstream but clarity or temperature of the AA's surface water is seldom or never affected (because it is too distant from glacier).,1,SFTS,Glacier2v,Benefit,4,,1,,
141,OF8,OF8_3,Glacier Influence,Glacier connected by streams to the AA is present upstream and the clarity or temperature of the AA's surface water is regularly affected. ,0,SFTS,Glacier2v,Benefit,4,,1,,
142,OF8,OF8_1,Glacier Influence,"No glacier capable of contributing surface flow to the AA is present upstream. If a glacier is present, there is no surface connection to the AA.",0,SR,Glacier3v,Benefit,6,,1,,
143,OF8,OF8_2,Glacier Influence,Glacier connected by streams to the AA is present upstream but clarity or temperature of the AA's surface water is seldom or never affected (because it is too distant from glacier).,1,SR,Glacier3v,Benefit,6,,1,,
144,OF8,OF8_3,Glacier Influence,Glacier connected by streams to the AA is present upstream and the clarity or temperature of the AA's surface water is regularly affected. ,3,SR,Glacier3v,Benefit,6,,1,,
145,OF9,OF9_1,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope within 1 km of the AA and in the same watershed. ,5,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1,,
146,OF9,OF9_2,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope within 5 km of the AA in the same watershed. ,3,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1,,
147,OF9,OF9_3,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope at a farther distance but within the same watershed. ,2,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1,,
148,OF9,OF9_4,Floodable Infrastucture,No infrastructure vulnerable to river flooding is present downstream or downslope in the AA's watershed.,0,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1,,
149,OF10,OF10_1,Internal Flow distance ,<10 m,0,WS,FloDist1,Function,7,,1,,
150,OF10,OF10_2,Internal Flow distance ,10 - 50 m,1,WS,FloDist1,Function,7,,1,,
151,OF10,OF10_3,Internal Flow distance ,50 - 100 m,2,WS,FloDist1,Function,7,,1,,
152,OF10,OF10_4,Internal Flow distance ,100 - 1000 m,3,WS,FloDist1,Function,7,,1,,
153,OF10,OF10_5,Internal Flow distance ,1- 2 km,4,WS,FloDist1,Function,7,,1,,
154,OF10,OF10_6,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",6,WS,FloDist1,Function,7,,1,,
155,OF10,OF10_1,Internal Flow distance ,<10 m,0,SR,FloDist3,Function,3,,1,,
156,OF10,OF10_2,Internal Flow distance ,10 - 50 m,2,SR,FloDist3,Function,3,,1,,
157,OF10,OF10_3,Internal Flow distance ,50 - 100 m,3,SR,FloDist3,Function,3,,1,,
158,OF10,OF10_4,Internal Flow distance ,100 - 1000 m,4,SR,FloDist3,Function,3,,1,,
159,OF10,OF10_5,Internal Flow distance ,1- 2 km,5,SR,FloDist3,Function,3,,1,,
160,OF10,OF10_6,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",7,SR,FloDist3,Function,3,,1,,
161,OF10,OF10_1,Internal Flow distance ,<10 m,0,PR,FloDist4,Function,5,NoCA,1,,
162,OF10,OF10_2,Internal Flow distance ,10 - 50 m,4,PR,FloDist4,Function,5,NoCA,1,,
163,OF10,OF10_3,Internal Flow distance ,50 - 100 m,5,PR,FloDist4,Function,5,NoCA,1,,
164,OF10,OF10_4,Internal Flow distance ,100 - 1000 m,6,PR,FloDist4,Function,5,NoCA,1,,
165,OF10,OF10_5,Internal Flow distance ,1- 2 km,7,PR,FloDist4,Function,5,NoCA,1,,
166,OF10,OF10_6,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",10,PR,FloDist4,Function,5,NoCA,1,,
167,OF10,OF10_1,Internal Flow distance ,<10 m,0,OE,FlorDist7,Function,3,,1,,
168,OF10,OF10_2,Internal Flow distance ,10 - 50 m,2,OE,FlorDist7,Function,3,,1,,
169,OF10,OF10_3,Internal Flow distance ,50 - 100 m,3,OE,FlorDist7,Function,3,,1,,
170,OF10,OF10_4,Internal Flow distance ,100 - 1000 m,4,OE,FlorDist7,Function,3,,1,,
171,OF10,OF10_5,Internal Flow distance ,1- 2 km,5,OE,FlorDist7,Function,3,,1,,
172,OF10,OF10_6,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",7,OE,FlorDist7,Function,3,,1,,
185,OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,WS,WetPctRCA1,Function,2,,1,,
186,OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,WS,WetPctRCA1,Function,2,,1,,
187,OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,WS,WetPctRCA1,Function,2,,1,,
188,OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,WS,WetPctRCA1,Function,2,,1,,
189,OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,SFTS,WetPctRCA2v,Benefit,4,,1,,
190,OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,SFTS,WetPctRCA2v,Benefit,4,,1,,
191,OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,SFTS,WetPctRCA2v,Benefit,4,,1,,
192,OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,SFTS,WetPctRCA2v,Benefit,4,,1,,
193,OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",4,SR,WetPctRCA3v,Function/Benefit,30_3,,1,,
194,OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,3,SR,WetPctRCA3v,Function/Benefit,30_3,,1,,
195,OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,SR,WetPctRCA3v,Function/Benefit,30_3,,1,,
196,OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",0,SR,WetPctRCA3v,Function/Benefit,30_3,,1,,
197,OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,PR,WetPctRCA4,Function,5,,1,,
198,OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,PR,WetPctRCA4,Function,5,,1,,
199,OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,PR,WetPctRCA4,Function,5,,1,,
200,OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,PR,WetPctRCA4,Function,5,,1,,
201,OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,NR,WetPctRCA5,function ,5,,1,,
202,OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,NR,WetPctRCA5,function ,5,,1,,
203,OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,NR,WetPctRCA5,function ,5,,1,,
204,OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,NR,WetPctRCA5,function ,5,,1,,
205,OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",3,APP,WetPctCA8,Function,3,,1,,
206,OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,2,APP,WetPctCA8,Function,3,,1,,
207,OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,1,APP,WetPctCA8,Function,3,,1,,
208,OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",0,APP,WetPctCA8,Function,3,,1,,
209,OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,WS,ImpervCA1,Benefit,7,,1,,
210,OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,3,WS,ImpervCA1,Benefit,7,,1,,
211,OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,4,WS,ImpervCA1,Benefit,7,,1,,
212,OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,SFTS,ImpervRCA2v,Benefit,4,NoCA,1,,
213,OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,2,SFTS,ImpervRCA2v,Benefit,4,NoCA,1,,
214,OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,3,SFTS,ImpervRCA2v,Benefit,4,NoCA,1,,
215,OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,SR,ImpervRCA3v,Benefit,6,,1,,
216,OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,2,SR,ImpervRCA3v,Benefit,6,,1,,
217,OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,3,SR,ImpervRCA3v,Benefit,6,,1,,
,OF26,,Degree Days Index,,,PR,GrowD4,Function,,,1,,
218,OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,PR,ImpervRCA4v,Benefit,,,1,,
219,OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,2,PR,ImpervRCA4v,Benefit,,,1,,
220,OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,3,PR,ImpervRCA4v,Benefit,,,1,,
221,OF13,OF13_1,Conservation Investment,Binary (0/1),binary,CRI,ConsInvest17,,,,1,,
222,OF14,OF14_1,Sustained Scientific Use,Binary (0/1),binary,CRI,SciUse17,,,,1,,
223,OF15,OF15_1,Burned,Binary (0/1),binary,SR,Burn3v,Benefit,6,,1,,
224,OF15,OF15_1,Burned,Binary (0/1),inverse-binary,CS,Burn6,Function,3,,1,,
225,OF15,OF15_1,Burned,Binary (0/1),binary,FR,Burned7,Function,0,,1,,
226,OF15,OF15_1,Burned,Binary (0/1),binary,STR,Burned20,,,,,,
227,OF16,OF16_1,Karst Geology ,Binary (0/1),binary,APP,karst8,Function,3,,1,,
228,OF16,OF16_1,Karst Geology ,Binary (0/1),binary,PD,karst15,Function,,,1,,
,OF15,OF15_1,Burned,Binary (0/1),binary,STR,Burned20,stressor,,,1,,
229,OF26,OF26_1,Degree Days Index,numeric,numeric,WS,GrowDays1,Function,2,,1,,
230,OF29,????,Topographic Position ,Toe slope,5,SFTS,TopoPos2,Function ,5,"In the next column, enter the Site_Position_Meso code (C, D, F, L, M, T, or U) for the raster cell containing this wetland.  If VRI contains no data for this attribute at the AA's location, leave the next cell blank.",1,,
231,OF29,????,Topographic Position ,lower slope ,4,SFTS,TopoPos2,Function ,5,,1,,
232,OF29,????,Topographic Position ,depressions,3,SFTS,TopoPos2,Function ,5,,1,,
233,OF29,????,Topographic Position ,mid slope,4,SFTS,TopoPos2,Function ,5,,1,,
234,OF29,????,Topographic Position ,upper slope,0,SFTS,TopoPos2,Function ,5,,1,,
235,OF29,????,Topographic Position ,crest,0,SFTS,TopoPos2,Function ,5,,1,,
236,OF29,????,Topographic Position ,flat,0,SFTS,TopoPos2,Function ,5,,1,,
237,OF39,???,Closed Coniferous Within the AA plus 100m buffer,numeric,numeric,SFTS,Conif2,Function ,5,,1,,
