q_no,response_no,q_text,q_responses,q_weighting,indicator,output_name,type_f_b,rough_percent_contribution,dependancies,checked
OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,6,CRI,DistRd17v,Benefit,NA,NA,1
OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,5,CRI,DistRd17v,Benefit,NA,NA,1
OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,4,CRI,DistRd17v,Benefit,NA,NA,1
OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,2,CRI,DistRd17v,Benefit,NA,NA,1
OF2,OF2_6,Distance to Frequently travelled Road,>500 m,0,CRI,DistRd17v,Benefit,NA,NA,1
OF2,OF2_1,Distance to Frequently travelled Road,<10 m,7,NR,RdDist5,Benefit,30,NA,1
OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,5,NR,RdDist5,Benefit,30,NA,1
OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,4,NR,RdDist5,Benefit,30,NA,1
OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,3,NR,RdDist5,Benefit,30,NA,1
OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,2,NR,RdDist5,Benefit,30,NA,1
OF2,OF2_6,Distance to Frequently travelled Road,>500 m,0,NR,RdDist5,Benefit,30,NA,1
OF2,OF2_1,Distance to Frequently travelled Road,<10 m,6,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,4,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,3,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,2,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,1,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF2,OF2_6,Distance to Frequently travelled Road,>500 m,0,FH,RdDist10v,Benefit,10,"Inflow, NoOutflow, NoOutflowX",1
OF2,OF2_1,Distance to Frequently travelled Road,<10 m,0,AM,DistRd11,Function,3,NA,1
OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,1,AM,DistRd11,Function,3,NA,1
OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,2,AM,DistRd11,Function,3,NA,1
OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,4,AM,DistRd11,Function,3,NA,1
OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,5,AM,DistRd11,Function,3,NA,1
OF2,OF2_6,Distance to Frequently travelled Road,>500 m,7,AM,DistRd11,Function,3,NA,1
OF2,OF2_1,Distance to Frequently travelled Road,<10 m,0,RSB,DisRd14,Function,NA,NA,NA
OF2,OF2_2,Distance to Frequently travelled Road,10 - 25 m,2,RSB,DisRd14,Function,NA,NA,NA
OF2,OF2_3,Distance to Frequently travelled Road,25 - 50 m,4,RSB,DisRd14,Function,NA,NA,NA
OF2,OF2_4,Distance to Frequently travelled Road,50 - 100 m,5,RSB,DisRd14,Function,NA,NA,NA
OF2,OF2_5,Distance to Frequently travelled Road,100 - 500 m,6,RSB,DisRd14,Function,NA,NA,NA
OF2,OF2_6,Distance to Frequently travelled Road,>500 m,8,RSB,DisRd14,Function,NA,NA,NA
OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface.",8,AM,DistPond11,Function,3,NA,1
OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",7,AM,DistPond11,Function,3,NA,1
OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",5,AM,DistPond11,Function,3,NA,1
OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,AM,DistPond11,Function,3,NA,1
OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",2,AM,DistPond11,Function,3,NA,1
OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",NA,AM,DistPond11,Function,3,NA,1
OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,AM,DistPond11,Function,3,NA,1
OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface.",8,WB,DistPond13,Function,NA,NeverWater,1
OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",6,WB,DistPond13,Function,NA,NeverWater,1
OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",5,WB,DistPond13,Function,NA,NeverWater,1
OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",3,WB,DistPond13,Function,NA,NeverWater,1
OF3,OF3_5,Distance to ponded water,"1 - 5 km, but separated by those features.",NA,WB,DistPond13,Function,NA,NeverWater,??
OF3,OF3_6,Distance to ponded water,"1 - 5 km, and not separated.",2,WB,DistPond13,Function,NA,NeverWater,1
OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,WB,DistPond13,Function,NA,NeverWater,1
OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface.",7,KMH,DistPond19v,Benefit,NA,NA,1
OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",6,KMH,DistPond19v,Benefit,NA,NA,1
OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",5,KMH,DistPond19v,Benefit,NA,NA,1
OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,KMH,DistPond19v,Benefit,NA,NA,1
OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",3,KMH,DistPond19v,Benefit,NA,NA,1
OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",2,KMH,DistPond19v,Benefit,NA,NA,1
OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,KMH,DistPond19v,Benefit,NA,NA,1
OF3,OF3_1,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface.",0,Sens,DistPond18,Sensitivity,NA,NA,1
OF3,OF3_2,Distance to ponded water,"<100 m, but completely separated by those features.",2,Sens,DistPond18,Sensitivity,NA,NA,1
OF3,OF3_3,Distance to ponded water,"100 m-1 km, and not separated.",3,Sens,DistPond18,Sensitivity,NA,NA,1
OF3,OF3_4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,Sens,DistPond18,Sensitivity,NA,NA,1
OF3,OF3_5,Distance to ponded water,"1 - 5 km, and not separated.",5,Sens,DistPond18,Sensitivity,NA,NA,1
OF3,OF3_6,Distance to ponded water,"1 - 5 km, but separated by those features.",6,Sens,DistPond18,Sensitivity,NA,NA,1
OF3,OF3_7,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,6,Sens,DistPond18,Sensitivity,NA,NA,1
OF4,OF4_1,Distance to Large ponded water,<100 m,8,WB,DistLake11,Function,NA,NA,1
OF4,OF4_2,Distance to Large ponded water,100 m - 1 km,6,WB,DistLake11,Function,NA,NA,1
OF4,OF4_3,Distance to Large ponded water,1 -2 km,5,WB,DistLake11,Function,NA,NA,1
OF4,OF4_4,Distance to Large ponded water,2-5 km,3,WB,DistLake11,Function,NA,NA,1
OF4,OF4_5,Distance to Large ponded water,5-10 km,2,WB,DistLake11,Function,NA,NA,1
OF4,OF4_6,Distance to Large ponded water,>10 km,0,WB,DistLake11,Function,NA,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,WS,Elev1v,Benefit,7,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,SFTS,Elev2v,Benefit,4,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,SR,Elev3v,Benefit,3,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,NR,Elev5,Function,10,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,OE,Elev7,Function,3,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,APP,Elev8,Function,3,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,FH,Elev10,Function,3,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,WB,Elev11,Function,NA,NA,1
OF5,OF5_1,Relative Elevation in Watershed,numeric,NA,Sens,Elev18,Sensitivity,NA,NA,1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,WS,OutMap1,Function,50,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,SFTS,Outmap2,Function,NA,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,SR,Outmap3,Function,50,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,PR,Outmap4,Function,100,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,NR,Outmap5,Function,NA,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,OE,Outmap7,Function,100,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,APP,MappedOut8,Function,5,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,FH,Outmap9,Function,3,"NoOutlet, NoOutletX",1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,PD,Outmap15,Function,NA,NA,1
OF6,OF6_1,Stream Intersect,binary (1/0),NA,Sens,Outmap18,Sensitivity,NA,"NoOutlet, NoOutletX",1
OF7,OF7_1,Aspect,"Northward (N, NE). north-facing contributing area.",0,WS,Aspect1,Benefit,7,NA,1
OF7,OF7_2,Aspect,"Southward (S, SW). south-facing contributing area.",2,WS,Aspect1,Benefit,7,NA,1
OF7,OF7_3,Aspect,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,WS,Aspect1,Benefit,7,NA,1
OF7,OF7_1,Aspect,"Northward (N, NE). north-facing contributing area.",0,SFTS,Aspect2,Benefit,4,NA,1
OF7,OF7_2,Aspect,"Southward (S, SW). south-facing contributing area.",2,SFTS,Aspect2,Benefit,4,NA,1
OF7,OF7_3,Aspect,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,SFTS,Aspect2,Benefit,4,NA,1
OF7,OF7_1,Aspect,"Northward (N, NE). north-facing contributing area.",0,PR,Aspect4,Function,5,NA,1
OF7,OF7_2,Aspect,"Southward (S, SW). south-facing contributing area.",2,PR,Aspect4,Function,5,NA,1
OF7,OF7_3,Aspect,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,PR,Aspect4,Function,5,NA,1
OF7,OF7_1,Aspect,"Northward (N, NE). north-facing contributing area.",0,NR,Aspect5,Function,10,NA,1
OF7,OF7_2,Aspect,"Southward (S, SW). south-facing contributing area.",2,NR,Aspect5,Function,10,NA,1
OF7,OF7_3,Aspect,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,NR,Aspect5,Function,10,NA,1
OF7,OF7_1,Aspect,"Northward (N, NE). north-facing contributing area.",0,APP,Aspect8,Function,3,NA,1
OF7,OF7_2,Aspect,"Southward (S, SW). south-facing contributing area.",2,APP,Aspect8,Function,3,NA,1
OF7,OF7_3,Aspect,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,APP,Aspect8,Function,3,NA,1
OF7,OF7_1,Aspect,"Northward (N, NE). north-facing contributing area.",3,FR,Aspect7,Function,5,NA,1
OF7,OF7_2,Aspect,"Southward (S, SW). south-facing contributing area.",0,FR,Aspect7,Function,5,NA,1
OF7,OF7_3,Aspect,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,FR,Aspect7,Function,5,NA,1
OF7,OF7_1,Aspect,"Northward (N, NE). north-facing contributing area.",0,AM,Aspect11,Function,3,NA,1
OF7,OF7_2,Aspect,"Southward (S, SW). south-facing contributing area.",2,AM,Aspect11,Function,3,NA,1
OF7,OF7_3,Aspect,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,AM,Aspect11,Function,3,NA,1
OF8,OF8_1,Glacier Influence,"No glacier capable of contributing surface flow to the AA is present upstream. If a glacier is present, there is no surface connection to the AA.",3,SFTS,Glacier2v,Benefit,4,NA,1
OF8,OF8_2,Glacier Influence,Glacier connected by streams to the AA is present upstream but clarity or temperature of the AA's surface water is seldom or never affected (because it is too distant from glacier).,1,SFTS,Glacier2v,Benefit,4,NA,1
OF8,OF8_3,Glacier Influence,Glacier connected by streams to the AA is present upstream and the clarity or temperature of the AA's surface water is regularly affected.,0,SFTS,Glacier2v,Benefit,4,NA,1
OF8,OF8_1,Glacier Influence,"No glacier capable of contributing surface flow to the AA is present upstream. If a glacier is present, there is no surface connection to the AA.",0,SR,Glacier3v,Benefit,6,NA,1
OF8,OF8_2,Glacier Influence,Glacier connected by streams to the AA is present upstream but clarity or temperature of the AA's surface water is seldom or never affected (because it is too distant from glacier).,1,SR,Glacier3v,Benefit,6,NA,1
OF8,OF8_3,Glacier Influence,Glacier connected by streams to the AA is present upstream and the clarity or temperature of the AA's surface water is regularly affected.,3,SR,Glacier3v,Benefit,6,NA,1
OF9,OF9_1,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope within 1 km of the AA and in the same watershed.,5,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1
OF9,OF9_2,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope within 5 km of the AA in the same watershed.,3,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1
OF9,OF9_3,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope at a farther distance but within the same watershed.,2,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1
OF9,OF9_4,Floodable Infrastucture,No infrastructure vulnerable to river flooding is present downstream or downslope in the AA's watershed.,0,WS,FloodProp1v,Benefit,50,"NoOutlet, NoOutletX",1
OF10,OF10_1,Internal Flow distance,<10 m,0,WS,FloDist1,Function,7,NA,1
OF10,OF10_2,Internal Flow distance,10 - 50 m,1,WS,FloDist1,Function,7,NA,1
OF10,OF10_3,Internal Flow distance,50 - 100 m,2,WS,FloDist1,Function,7,NA,1
OF10,OF10_4,Internal Flow distance,100 - 1000 m,3,WS,FloDist1,Function,7,NA,1
OF10,OF10_5,Internal Flow distance,1- 2 km,4,WS,FloDist1,Function,7,NA,1
OF10,OF10_6,Internal Flow distance,">2 km, or wetland lacks an inlet and/or outlet.",6,WS,FloDist1,Function,7,NA,1
OF10,OF10_1,Internal Flow distance,<10 m,0,SR,FloDist3,Function,3,NA,1
OF10,OF10_2,Internal Flow distance,10 - 50 m,2,SR,FloDist3,Function,3,NA,1
OF10,OF10_3,Internal Flow distance,50 - 100 m,3,SR,FloDist3,Function,3,NA,1
OF10,OF10_4,Internal Flow distance,100 - 1000 m,4,SR,FloDist3,Function,3,NA,1
OF10,OF10_5,Internal Flow distance,1- 2 km,5,SR,FloDist3,Function,3,NA,1
OF10,OF10_6,Internal Flow distance,">2 km, or wetland lacks an inlet and/or outlet.",7,SR,FloDist3,Function,3,NA,1
OF10,OF10_1,Internal Flow distance,<10 m,0,PR,FloDist4,Function,5,NoCA,1
OF10,OF10_2,Internal Flow distance,10 - 50 m,4,PR,FloDist4,Function,5,NoCA,1
OF10,OF10_3,Internal Flow distance,50 - 100 m,5,PR,FloDist4,Function,5,NoCA,1
OF10,OF10_4,Internal Flow distance,100 - 1000 m,6,PR,FloDist4,Function,5,NoCA,1
OF10,OF10_5,Internal Flow distance,1- 2 km,7,PR,FloDist4,Function,5,NoCA,1
OF10,OF10_6,Internal Flow distance,">2 km, or wetland lacks an inlet and/or outlet.",10,PR,FloDist4,Function,5,NoCA,1
OF10,OF10_1,Internal Flow distance,<10 m,0,OE,FlorDist7,Function,3,NA,1
OF10,OF10_2,Internal Flow distance,10 - 50 m,2,OE,FlorDist7,Function,3,NA,1
OF10,OF10_3,Internal Flow distance,50 - 100 m,3,OE,FlorDist7,Function,3,NA,1
OF10,OF10_4,Internal Flow distance,100 - 1000 m,4,OE,FlorDist7,Function,3,NA,1
OF10,OF10_5,Internal Flow distance,1- 2 km,5,OE,FlorDist7,Function,3,NA,1
OF10,OF10_6,Internal Flow distance,">2 km, or wetland lacks an inlet and/or outlet.",7,OE,FlorDist7,Function,3,NA,1
OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,WS,WetPctRCA1,Function,2,NA,1
OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,WS,WetPctRCA1,Function,2,NA,1
OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,WS,WetPctRCA1,Function,2,NA,1
OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,WS,WetPctRCA1,Function,2,NA,1
OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,SFTS,WetPctRCA2v,Benefit,4,NA,1
OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,SFTS,WetPctRCA2v,Benefit,4,NA,1
OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,SFTS,WetPctRCA2v,Benefit,4,NA,1
OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,SFTS,WetPctRCA2v,Benefit,4,NA,1
OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",4,SR,WetPctRCA3v,Function/Benefit,NA,NA,1
OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,3,SR,WetPctRCA3v,Function/Benefit,NA,NA,1
OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,SR,WetPctRCA3v,Function/Benefit,NA,NA,1
OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",0,SR,WetPctRCA3v,Function/Benefit,NA,NA,1
OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",4,PR,WetPctRCA4v,Benefit,5,NA,1
OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,3,PR,WetPctRCA4v,Benefit,5,NA,1
OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,PR,WetPctRCA4v,Benefit,5,NA,1
OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",1,PR,WetPctRCA4v,Benefit,5,NA,1
OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,NR,WetPctRCA5,Function,5,NA,1
OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,NR,WetPctRCA5,Function,5,NA,1
OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,2,NR,WetPctRCA5,Function,5,NA,1
OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,NR,WetPctRCA5,Function,5,NA,1
OF11,OF11_1,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",3,APP,WetPctCA8,Function,3,NA,1
OF11,OF11_2,Wetland as a % of contributing catchment Area,0.01 to 0.1.,2,APP,WetPctCA8,Function,3,NA,1
OF11,OF11_3,Wetland as a % of contributing catchment Area,0.1 to 1.,1,APP,WetPctCA8,Function,3,NA,1
OF11,OF11_4,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",0,APP,WetPctCA8,Function,3,NA,1
OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,WS,ImpervCA1,Benefit,7,NA,1
OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,3,WS,ImpervCA1,Benefit,7,NA,1
OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,4,WS,ImpervCA1,Benefit,7,NA,1
OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,SFTS,ImpervRCA2v,Benefit,4,NoCA,1
OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,2,SFTS,ImpervRCA2v,Benefit,4,NoCA,1
OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,3,SFTS,ImpervRCA2v,Benefit,4,NoCA,1
OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,SR,ImpervRCA3v,Benefit,6,NA,1
OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,2,SR,ImpervRCA3v,Benefit,6,NA,1
OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,3,SR,ImpervRCA3v,Benefit,6,NA,1
OF12,OF12_1,Unvegetated Surface in the WAU,<10%.,0,PR,ImpervRCA4v,Benefit,NA,NA,1
OF12,OF12_2,Unvegetated Surface in the WAU,10 to 25%.,2,PR,ImpervRCA4v,Benefit,NA,NA,1
OF12,OF12_3,Unvegetated Surface in the WAU,>25%.,3,PR,ImpervRCA4v,Benefit,NA,NA,1
OF13,OF13_1,Conservation Investment,Binary (0/1),NA,CRI,ConsInvest17,Benefit,NA,NA,1
OF14,OF14_1,Sustained Scientific Use,Binary (0/1),NA,CRI,SciUse17,Benefit,NA,NA,1
OF15,OF15_1,Burned,Binary (0/1),NA,SR,Burn3v,Benefit,6,NA,1
OF15,OF15_1,Burned,Binary (0/1),NA,CS,Burn6,Function,3,NA,1
OF15,OF15_1,Burned,Binary (0/1),NA,FR,Burned7,Function,0,NA,1
OF16,OF16_1,Karst Geology,Binary (0/1),NA,APP,karst8,Function,3,NA,1
OF16,OF16_1,Karst Geology,Binary (0/1),NA,PD,karst15,Function,NA,NA,1
OF26,OF26_1,Degree Days Index,numeric,NA,WS,GrowDays1,Function,2,NA,1
OF29,OF29_1,Topographic Position,T,5,SFTS,TopoPos2,Function,5,"In the next column, enter the Site_Position_Meso code (C, D, F, L, M, T, or U) for the raster cell containing this wetland.  If VRI contains no data for this attribute at the AA's location, leave the next cell blank.",1
OF29,OF29_2,Topographic Position,L,4,SFTS,TopoPos2,Function,5,NA,1
OF29,OF29_3,Topographic Position,D,3,SFTS,TopoPos2,Function,5,NA,1
OF29,OF29_4,Topographic Position,M,4,SFTS,TopoPos2,Function,5,NA,1
OF29,OF29_5,Topographic Position,U,0,SFTS,TopoPos2,Function,5,NA,1
OF29,OF29_6,Topographic Position,C,0,SFTS,TopoPos2,Function,5,NA,1
OF29,OF29_7,Topographic Position,F,0,SFTS,TopoPos2,Function,5,NA,1
OF39,???,Closed Coniferous Within the AA plus 100m buffer,numeric,NA,SFTS,Conif2,Function,5,NA,1
OF17,OF17,Geological Faults,Binary (0/1),NA,SFTS,Faults2,Function,5,NA,1
F15,F15_1,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",3,WS,Gcover1,Function,7,NA,1
F15,F15_2,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",3,WS,Gcover1,Function,7,NA,1
F15,F15_3,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,1,WS,Gcover1,Function,7,NA,1
F15,F15_4,Percent Bare Ground,Other conditions.,0,WS,Gcover1,Function,7,NA,1
F17,F17_1,Soil SurfaceTexture,"Loamy: soils that may contain a little fine grit and do not make a ""ribbon"" longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",1,WS,SoilText1,Function,2,NA,1
F17,F17_2,Soil SurfaceTexture,"Fines: includes silt, clay, silt, soils that make a ribbon longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",0,WS,SoilText1,Function,2,NA,1
F17,F17_3,Soil SurfaceTexture,"Peat, to 40 cm depth or greater.",2,WS,SoilText1,Function,2,NA,1
F17,F17_4,Soil SurfaceTexture,Peat or decomposed organic <40 cm deep.,3,WS,SoilText1,Function,2,NA,1
F17,F17_5,Soil SurfaceTexture,"Coarse: includes sand, loamy sand, gravel, cobble, soils that do not make a ribbon when moistened, rolled, squeezed, and extended between thumb and forefinger.",4,WS,SoilText1,Function,2,NA,1
F18,F18_1,Microtopography,"Few or none (minimal microtopography; <1% of the land has such features, or entire AA is always water-covered).",0,WS,Girreg1,Function,7,NA,1
