q_no,q_text,q_responses,Q_weighting,indicator,output_name ,type (F/B),Rough Percent contribution ,,,,,,,,,
OF3,Distance to Frequently travelled Road,100 - 500 m,2,NR,RdDist5,Benefit,30,,,,,,,,,
OF3,Distance to Frequently travelled Road,>500 m,0,NR,RdDist5,Benefit,30,,,,,,,,,
OF3,Distance to Frequently travelled Road,<10 m,6,FH,RdDist10v,Benefit,10,,,,,,,,,
OF3,Distance to Frequently travelled Road,10 - 25 m,4,FH,RdDist10v,Benefit,10,,,,,,,,,
OF3,Distance to Frequently travelled Road,25 - 50 m,3,FH,RdDist10v,Benefit,10,,,,,,,,,
OF3,Distance to Frequently travelled Road,50 - 100 m,2,FH,RdDist10v,Benefit,10,,,,,,,,,
OF3,Distance to Frequently travelled Road,100 - 500 m,1,FH,RdDist10v,Benefit,10,,,,,,,,,
OF3,Distance to Frequently travelled Road,>500 m,0,FH,RdDist10v,Benefit,10,,,,,,,,,
OF3,Distance to Frequently travelled Road,<10 m,0,AM,DistRd11,function,3,,,,,,,,,
OF3,Distance to Frequently travelled Road,10 - 25 m,1,AM,DistRd11,function,3,,,,,,,,,
OF3,Distance to Frequently travelled Road,25 - 50 m,2,AM,DistRd11,function,3,,,,,,,,,
OF3,Distance to Frequently travelled Road,50 - 100 m,4,AM,DistRd11,function,3,,,,,,,,,
OF3,Distance to Frequently travelled Road,100 - 500 m,5,AM,DistRd11,function,3,,,,,,,,,
OF3,Distance to Frequently travelled Road,>500 m,7,AM,DistRd11,function,3,,,,,,,,,
OF3,Distance to Frequently travelled Road,<10 m,0,RSB,DisRd14,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,10 - 25 m,2,RSB,DisRd14,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,25 - 50 m,4,RSB,DisRd14,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,50 - 100 m,5,RSB,DisRd14,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,100 - 500 m,6,RSB,DisRd14,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,>500 m,8,RSB,DisRd14,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,<10 m,0,PD,DistRd15,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,10 - 25 m,0,PD,DistRd15,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,25 - 50 m,1,PD,DistRd15,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,50 - 100 m,3,PD,DistRd15,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,100 - 500 m,5,PD,DistRd15,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,>500 m,??,PD,DistRd15,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,<10 m,7,STR,DistRd20,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,10 - 25 m,5,STR,DistRd20,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,25 - 50 m,4,STR,DistRd20,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,50 - 100 m,3,STR,DistRd20,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,100 - 500 m,2,STR,DistRd20,,,,,,,,,,,
OF3,Distance to Frequently travelled Road,>500 m,0,STR,DistRd20,,,,,,,,,,,
OF4,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",8,AM,DistPond11,function,3,,,,,,,,,
OF4,Distance to ponded water,"<100 m, but completely separated by those features.",7,AM,DistPond11,function,3,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, and not separated.",5,AM,DistPond11,function,3,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,AM,DistPond11,function,3,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, and not separated.",2,AM,DistPond11,function,3,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, but separated by those features.",??,AM,DistPond11,function,3,,,,,,,,,
OF4,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,AM,DistPond11,function,3,,,,,,,,,
OF4,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",8,WB,DistPond13,function,,,,,,,,,,
OF4,Distance to ponded water,"<100 m, but completely separated by those features.",6,WB,DistPond13,function,,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, and not separated.",5,WB,DistPond13,function,,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, but separated by those features.",3,WB,DistPond13,function,,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, but separated by those features.",??,WB,DistPond13,function,,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, and not separated.",2,WB,DistPond13,function,,,,,,,,,,
OF4,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,WB,DistPond13,function,,,,,,,,,,
OF4,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",7,MB,DistPond19,,,,,,,,,,,
OF4,Distance to ponded water,"<100 m, but completely separated by those features.",6,MB,DistPond19,,,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, and not separated.",5,MB,DistPond19,,,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,MB,DistPond19,,,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, and not separated.",3,MB,DistPond19,,,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, but separated by those features.",2,MB,DistPond19,,,,,,,,,,,
OF4,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,0,MB,DistPond19,,,,,,,,,,,
OF4,Distance to ponded water,"<100 m, and not separated by any width of paved roads, bare ground, or impervious surface. ",0,Sens,DistPond18,,,,,,,,,,,
OF4,Distance to ponded water,"<100 m, but completely separated by those features.",2,Sens,DistPond18,,,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, and not separated.",3,Sens,DistPond18,,,,,,,,,,,
OF4,Distance to ponded water,"100 m-1 km, but separated by those features.",4,Sens,DistPond18,,,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, and not separated.",??,Sens,DistPond18,,,,,,,,,,,
OF4,Distance to ponded water,"1 - 5 km, but separated by those features.",5,Sens,DistPond18,,,,,,,,,,,
OF4,Distance to ponded water,None of the above (the closest patches or corridors that large are 5 km away).,6,Sens,DistPond18,,,,,,,,,,,
OF5,Distance to Large ponded water,<100 m,8,WB,DistLake11,function,,,,,,,,,,
OF5,Distance to Large ponded water,100 m - 1 km,6,WB,DistLake11,function,,,,,,,,,,
OF5,Distance to Large ponded water,1 -2 km,5,WB,DistLake11,function,,,,,,,,,,
OF5,Distance to Large ponded water,2-5 km,3,WB,DistLake11,function,,,,,,,,,,
OF5,Distance to Large ponded water,5-10 km,2,WB,DistLake11,function,,,,,,,,,,
OF5,Distance to Large ponded water,>10 km,0,WB,DistLake11,function,,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,numeric ,WS,Elev1v,Benefit,7,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,numeric ,SFTS,Elev2v,Benefit,4,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,1 - numeric,SR,Elev3v,Benefit,3,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,1 - numeric,PR,Elev4v,Function,5,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,1 - numeric,NR,Elev5,function ,10,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,1 - numeric,OE,Elev7,Function,3,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,numeric ,APP,Elev8,Function,3,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,1 - numeric,FH,Elev10,Function,3,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,1 - numeric,WB,Elev11,function,,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,numeric ,Sens,Elev18,,,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,WS,OutMap1,Function,50,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,SFTS,Outmap2,Function ,?,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,SR,Outmap3,Function,50,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,PR,Outmap4,Function,100,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,NR,Outmap5,function ,?,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,OE,Outmap7,Function,100,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,APP,MappedOut8,Function,5,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,FH,Outmap9,Function,3,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,PD,Outmap15,,,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,POL,Outmap16,,,,,,,,,,,
OF7,Stream Intersect,binary (1/0),binary,Sens,Outmap18,,,,,,,,,,,
OF8,Aspect ,"Northward (N, NE). north-facing contributing area.",0,WS,Aspect1,Benefit,7,,,,,,,,,
OF8,Aspect ,"Southward (S, SW). south-facing contributing area.",2,WS,Aspect1,Benefit,7,,,,,,,,,
OF8,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,WS,Aspect1,Benefit,7,,,,,,,,,
OF8,Aspect ,"Northward (N, NE). north-facing contributing area.",0,SFTS,Aspect2,Benefit,4,,,,,,,,,
OF8,Aspect ,"Southward (S, SW). south-facing contributing area.",2,SFTS,Aspect2,Benefit,4,,,,,,,,,
OF8,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,SFTS,Aspect2,Benefit,4,,,,,,,,,
OF8,Aspect ,"Northward (N, NE). north-facing contributing area.",0,PR,Aspect4,Function,5,,,,,,,,,
OF8,Aspect ,"Southward (S, SW). south-facing contributing area.",2,PR,Aspect4,Function,5,,,,,,,,,
OF8,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,PR,Aspect4,Function,5,,,,,,,,,
OF8,Aspect ,"Northward (N, NE). north-facing contributing area.",0,NR,Aspect5,function ,10,,,,,,,,,
OF8,Aspect ,"Southward (S, SW). south-facing contributing area.",2,NR,Aspect5,function ,10,,,,,,,,,
OF8,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,NR,Aspect5,function ,10,,,,,,,,,
OF8,Aspect ,"Northward (N, NE). north-facing contributing area.",0,APP,Aspect8,Function,3,,,,,,,,,
OF8,Aspect ,"Southward (S, SW). south-facing contributing area.",2,APP,Aspect8,Function,3,,,,,,,,,
OF8,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,APP,Aspect8,Function,3,,,,,,,,,
OF8,Aspect ,"Northward (N, NE). north-facing contributing area.",3,FR,Aspect7,Function,5,,,,,,,,,
OF8,Aspect ,"Southward (S, SW). south-facing contributing area.",0,FR,Aspect7,Function,5,,,,,,,,,
OF8,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,FR,Aspect7,Function,5,,,,,,,,,
OF8,Aspect ,"Northward (N, NE). north-facing contributing area.",0,AM,Aspect11,function,3,,,,,,,,,
OF8,Aspect ,"Southward (S, SW). south-facing contributing area.",2,AM,Aspect11,function,3,,,,,,,,,
OF8,Aspect ,"Other (E, SE, W, NW), or no detectable uphill slope or input channel (flat).",1,AM,Aspect11,function,3,,,,,,,,,
OF9 ,Glacier Influence,"No glacier capable of contributing surface flow to the AA is present upstream. If a glacier is present, there is no surface connection to the AA.",0,SFTS,Glacier2v,Benefit,4,,,,,,,,,
OF9 ,Glacier Influence,Glacier connected by streams to the AA is present upstream but clarity or temperature of the AA's surface water is seldom or never affected (because it is too distant from glacier).,1,SFTS,Glacier2v,Benefit,4,,,,,,,,,
OF9 ,Glacier Influence,Glacier connected by streams to the AA is present upstream and the clarity or temperature of the AA's surface water is regularly affected. ,3,SFTS,Glacier2v,Benefit,4,,,,,,,,,
OF9 ,Glacier Influence,"No glacier capable of contributing surface flow to the AA is present upstream. If a glacier is present, there is no surface connection to the AA.",0,SR,Glacier3v,Benefit,6,,,,,,,,,
OF9 ,Glacier Influence,Glacier connected by streams to the AA is present upstream but clarity or temperature of the AA's surface water is seldom or never affected (because it is too distant from glacier).,1,SR,Glacier3v,Benefit,6,,,,,,,,,
OF9 ,Glacier Influence,Glacier connected by streams to the AA is present upstream and the clarity or temperature of the AA's surface water is regularly affected. ,3,SR,Glacier3v,Benefit,6,,,,,,,,,
OF10,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope within 1 km of the AA and in the same watershed. ,5,WS,FloodProp1v,Benefit,50,,,,,,,,,
OF10,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope within 5 km of the AA in the same watershed. ,3,WS,FloodProp1v,Benefit,50,,,,,,,,,
OF10,Floodable Infrastucture,Infrastructure vulnerable to river flooding is present downstream or downslope at a farther distance but within the same watershed. ,2,WS,FloodProp1v,Benefit,50,,,,,,,,,
OF10,Floodable Infrastucture,No infrastructure vulnerable to river flooding is present downstream or downslope in the AA's watershed.,0,WS,FloodProp1v,Benefit,50,,,,,,,,,
OF11,Internal Flow distance ,<10 m,0,WS,FloDist1,Function,7,,,,,,,,,
OF11,Internal Flow distance ,10 - 50 m,1,WS,FloDist1,Function,7,,,,,,,,,
OF11,Internal Flow distance ,50 - 100 m,2,WS,FloDist1,Function,7,,,,,,,,,
OF11,Internal Flow distance ,100 - 1000 m,3,WS,FloDist1,Function,7,,,,,,,,,
OF11,Internal Flow distance ,1- 2 km,4,WS,FloDist1,Function,7,,,,,,,,,
OF11,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",6,WS,FloDist1,Function,7,,,,,,,,,
OF11,Internal Flow distance ,<10 m,0,SR,FloDist3,Function,3,,,,,,,,,
OF11,Internal Flow distance ,10 - 50 m,2,SR,FloDist3,Function,3,,,,,,,,,
OF11,Internal Flow distance ,50 - 100 m,3,SR,FloDist3,Function,3,,,,,,,,,
OF11,Internal Flow distance ,100 - 1000 m,4,SR,FloDist3,Function,3,,,,,,,,,
OF11,Internal Flow distance ,1- 2 km,5,SR,FloDist3,Function,3,,,,,,,,,
OF11,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",7,SR,FloDist3,Function,3,,,,,,,,,
OF11,Internal Flow distance ,<10 m,0,PR,FloDist4,Function,5,,,,,,,,,
OF11,Internal Flow distance ,10 - 50 m,4,PR,FloDist4,Function,5,,,,,,,,,
OF11,Internal Flow distance ,50 - 100 m,5,PR,FloDist4,Function,5,,,,,,,,,
OF11,Internal Flow distance ,100 - 1000 m,6,PR,FloDist4,Function,5,,,,,,,,,
OF11,Internal Flow distance ,1- 2 km,7,PR,FloDist4,Function,5,,,,,,,,,
OF11,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",10,PR,FloDist4,Function,5,,,,,,,,,
OF11,Internal Flow distance ,<10 m,0,OE,FlorDist7,Function,3,,,,,,,,,
OF11,Internal Flow distance ,10 - 50 m,2,OE,FlorDist7,Function,3,,,,,,,,,
OF11,Internal Flow distance ,50 - 100 m,3,OE,FlorDist7,Function,3,,,,,,,,,
OF11,Internal Flow distance ,100 - 1000 m,4,OE,FlorDist7,Function,3,,,,,,,,,
OF11,Internal Flow distance ,1- 2 km,5,OE,FlorDist7,Function,3,,,,,,,,,
OF11,Internal Flow distance ,">2 km, or wetland lacks an inlet and/or outlet.",7,OE,FlorDist7,Function,3,,,,,,,,,
OF12,Wetland Area,<0.01 hectare (about 10 m x 10 m).,0,RSB,WetArea14,,,,,,,,,,,
OF12,Wetland Area,0.01 - 0.1 hectare.,1,RSB,WetArea14,,,,,,,,,,,
OF12,Wetland Area,0.1 - 1 hectare.,2,RSB,WetArea14,,,,,,,,,,,
OF12,Wetland Area,1 to 10 hectares.,4,RSB,WetArea14,,,,,,,,,,,
OF12,Wetland Area,10 to 100 hectares.,6,RSB,WetArea14,,,,,,,,,,,
OF12,Wetland Area,>100 hectares.,10,RSB,WetArea14,,,,,,,,,,,
OF12,Wetland Area,<0.01 hectare (about 10 m x 10 m).,0,PD,WetArea15,,,,,,,,,,,
OF12,Wetland Area,0.01 - 0.1 hectare.,1,PD,WetArea15,,,,,,,,,,,
OF12,Wetland Area,0.1 - 1 hectare.,2,PD,WetArea15,,,,,,,,,,,
OF12,Wetland Area,1 to 10 hectares.,4,PD,WetArea15,,,,,,,,,,,
OF12,Wetland Area,10 to 100 hectares.,6,PD,WetArea15,,,,,,,,,,,
OF12,Wetland Area,>100 hectares.,10,PD,WetArea15,,,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,WS,WetPctRCA1,Function,2,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,WS,WetPctRCA1,Function,2,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.1 to 1.,2,WS,WetPctRCA1,Function,2,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,WS,WetPctRCA1,Function,2,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,SFTS,WetPctRCA2v,Benefit,4,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,SFTS,WetPctRCA2v,Benefit,4,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.1 to 1.,2,SFTS,WetPctRCA2v,Benefit,4,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,SFTS,WetPctRCA2v,Benefit,4,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",4,SR,WetPctRCA3v,Function/Benefit,30_3,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.01 to 0.1.,3,SR,WetPctRCA3v,Function/Benefit,30_3,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.1 to 1.,2,SR,WetPctRCA3v,Function/Benefit,30_3,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",0,SR,WetPctRCA3v,Function/Benefit,30_3,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",4,PR,WetPctRCA4v,Function,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.01 to 0.1.,3,PR,WetPctRCA4v,Function,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.1 to 1.,2,PR,WetPctRCA4v,Function,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",1,PR,WetPctRCA4v,Function,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",0,NR,WetPctRCA5,function ,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.01 to 0.1.,1,NR,WetPctRCA5,function ,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.1 to 1.,2,NR,WetPctRCA5,function ,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",3,NR,WetPctRCA5,function ,5,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",3,APP,WetPctCA8,Function,3,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.01 to 0.1.,2,APP,WetPctCA8,Function,3,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.1 to 1.,1,APP,WetPctCA8,Function,3,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",0,APP,WetPctCA8,Function,3,,,,,,,,,
OF14,Unvegetated Surface in the WAU,<10%.,0,WS,ImpervCA1,Benefit,7,,,,,,,,,
OF14,Unvegetated Surface in the WAU,10 to 25%.,3,WS,ImpervCA1,Benefit,7,,,,,,,,,
OF14,Unvegetated Surface in the WAU,>25%.,4,WS,ImpervCA1,Benefit,7,,,,,,,,,
OF14,Unvegetated Surface in the WAU,<10%.,0,SFTS,ImpervRCA2v,Benefit,4,,,,,,,,,
OF14,Unvegetated Surface in the WAU,10 to 25%.,2,SFTS,ImpervRCA2v,Benefit,4,,,,,,,,,
OF14,Unvegetated Surface in the WAU,>25%.,3,SFTS,ImpervRCA2v,Benefit,4,,,,,,,,,
OF14,Unvegetated Surface in the WAU,<10%.,0,SR,ImpervRCA3v,Benefit,6,,,,,,,,,
OF14,Unvegetated Surface in the WAU,10 to 25%.,2,SR,ImpervRCA3v,Benefit,6,,,,,,,,,
OF14,Unvegetated Surface in the WAU,>25%.,3,SR,ImpervRCA3v,Benefit,6,,,,,,,,,
OF14,Unvegetated Surface in the WAU,<10%.,0,PR,ImpervRCA4v,Benefit,,,,,,,,,,
OF14,Unvegetated Surface in the WAU,10 to 25%.,2,PR,ImpervRCA4v,Benefit,,,,,,,,,,
OF14,Unvegetated Surface in the WAU,>25%.,3,PR,ImpervRCA4v,Benefit,,,,,,,,,,
OF15,Conservation Investment,Binary (0/1),binary,CRI,ConsInvest17,,,,,,,,,,,
OF16,Sustained Scientific Use,Binary (0/1),binary,CRI,SciUse17,,,,,,,,,,,
OF17,Burned,Binary (0/1),binary,SR,Burn3v,Benefit,6,,,,,,,,,
OF17,Burned,Binary (0/1),inverse-binary,CS,Burn6,Function,3,,,,,,,,,
OF17,Burned,Binary (0/1),binary,FR,Burned7,Function,0,,,,,,,,,
OF17,Burned,Binary (0/1),binary,STR,Burned20,,,,,,,,,,,
OF18,Karst Geology ,Binary (0/1),binary,APP,karst8,Function,3,,,,,,,,,
OF18,Karst Geology ,Binary (0/1),binary,PD,karst15,,,,,,,,,,,
OF28,Degree Days Index,numeric,numeric,WS,GrowDays1,Function,2,,,,,,,,,
OF31 ,Topographic Position ,Toe slope,5,SFTS,TopoPos2,Function ,5,,,,,,,,,
OF31 ,Topographic Position ,lower slope ,4,SFTS,TopoPos2,Function ,5,,,,,,,,,
OF31 ,Topographic Position ,depressions,3,SFTS,TopoPos2,Function ,5,,,,,,,,,
OF31 ,Topographic Position ,mid slope,4,SFTS,TopoPos2,Function ,5,,,,,,,,,
OF31 ,Topographic Position ,upper slope,0,SFTS,TopoPos2,Function ,5,,,,,,,,,
OF31 ,Topographic Position ,crest,0,SFTS,TopoPos2,Function ,5,,,,,,,,,
OF31 ,Topographic Position ,flat,0,SFTS,TopoPos2,Function ,5,,,,,,,,,
OF41,Closed Coniferous Within the AA plus 100m buffer,numeric,numeric,SFTS,Conif2,Function ,5,,,,,,,,,
OF19,Geological Faults,Binary (0/1),binary,SFTS,Faults2,Function,5,,,,,,,,,
F15,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",3,WS,Gcover1,Function,7,,,,,,,,,
F15,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",3,WS,Gcover1,Function,7,,,,,,,,,
F15,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,1,WS,Gcover1,Function,7,,,,,,,,,
F15,Percent Bare Ground,Other conditions.,0,WS,Gcover1,Function,7,,,,,,,,,
F17,Soil SurfaceTexture,"Loamy: soils that may contain a little fine grit and do not make a ""ribbon"" longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",1,WS,SoilText1,Function,2,,,,,,,,,
F17,Soil SurfaceTexture,"Fines: includes silt, clay, silt, soils that make a ribbon longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",0,WS,SoilText1,Function,2,,,,,,,,,
F17,Soil SurfaceTexture,"Peat, to 40 cm depth or greater.",2,WS,SoilText1,Function,2,,,,,,,,,
F17,Soil SurfaceTexture,Peat or decomposed organic <40 cm deep. ,3,WS,SoilText1,Function,2,,,,,,,,,
